capital,one,two,three,four
-1,0.191265306122449,0.12244897959183673,0.0,0.0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.2616530612244898,0.14285714285714285
2,0.0,0.0,0.0,0.14285714285714285
3,0.0,0.0,0.0,0.14285714285714285
4,0.0,0.0,0.0,0.14285714285714285
5,0.0,0.0,0.0,0.14285714285714285
6,0.0,0.0,0.0,0.14285714285714285
7,0.808734693877551,0.8775510204081632,0.7383469387755102,0.14285714285714285
8,0.0,0.0,0.0,0.0
